"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\78_F10.d"," DAD1 - B:Sig=260,4  Ref=360,60 78_F10.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\78_F10.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\78_F10.d" ,"1" ,0.364,0.379,0.392,14.87,15.34,2.16,34.99,1.31,0.028,0.030,-0.82,-21.68,0.355,0.356,0.394,0.395,-0.82,-21.68,0.40,3.46,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\78_F10.d" ,"2" ,0.408,0.424,0.486,9.61,22.42,3.16,22.61,1.92,0.079,0.034,0.06,1.53,0.394,0.395,0.464,0.491,0.06,0.14,4.20,9.68,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\78_F10.d" ,"3" ,0.486,0.514,0.566,8.55,21.83,3.08,20.13,1.87,0.080,0.040,1.53,0.73,0.464,0.491,0.562,0.571,0.14,0.22,0.98,8.72,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\78_F10.d" ,"4" ,0.572,0.590,0.641,42.49,43.93,6.19,100.00,3.76,0.069,0.015,1.32,0.51,0.562,0.571,0.651,0.653,0.23,0.30,1.80,42.74,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\78_F10.d" ,"5" ,0.680,0.707,0.752,6.08,10.80,1.52,14.30,0.92,0.072,0.028,0.40,0.48,0.651,0.653,0.743,0.769,0.34,0.42,1.60,6.45,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\78_F10.d" ,"6" ,1.113,1.163,1.264,21.93,63.75,8.98,51.60,5.46,0.151,0.044,-0.11,0.07,1.104,1.107,1.295,1.298,-0.11,0.05,1.61,21.87,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\78_F10.d" ,"7" ,3.077,3.200,3.362,20.63,124.69,17.57,48.55,10.68,0.285,0.094,-0.78,-0.61,3.056,3.063,3.361,3.364,-0.82,-0.61,1.24,19.91,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\78_F10.d" ,"8" ,3.381,3.491,3.618,20.67,112.42,15.84,48.65,9.62,0.237,0.086,-0.57,-0.86,3.371,3.373,3.614,3.625,-0.57,-0.94,1.05,19.94,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\78_F10.d" ,"9" ,3.618,3.688,3.751,3.24,12.27,1.73,7.62,1.05,0.133,0.061,-0.86,-0.88,3.614,3.625,3.749,3.753,-0.94,-1.14,0.98,2.19,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\78_F10.d" ,"10" ,3.751,3.810,3.883,6.36,22.39,3.15,14.98,1.92,0.132,0.056,-0.88,-1.35,3.749,3.753,3.923,3.926,-1.14,-1.35,1.06,5.13,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\78_F10.d" ,"11" ,4.419,4.469,4.561,3.24,8.48,1.19,7.63,0.73,0.142,0.040,-2.12,-2.18,4.416,4.420,4.560,4.562,-2.12,-2.18,1.33,1.10,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\78_F10.d" ,"12" ,6.641,6.865,8.000,28.31,709.75,100.00,66.63,60.76,1.359,0.408,-2.01,-0.23,6.638,6.641,7.999,8.000,-2.01,-0.23,4.29,26.60,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\79_F11.d"," DAD1 - B:Sig=260,4  Ref=360,60 79_F11.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\79_F11.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\79_F11.d" ,"1" ,0.363,0.378,0.391,18.93,20.38,2.89,28.90,1.48,0.028,0.030,-1.02,-28.93,0.355,0.356,0.394,0.394,-1.02,-28.93,0.42,3.55,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\79_F11.d" ,"2" ,0.407,0.425,0.483,11.12,26.15,3.71,16.98,1.90,0.075,0.036,0.02,1.93,0.394,0.394,0.462,0.488,0.02,0.11,3.76,11.16,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\79_F11.d" ,"3" ,0.483,0.512,0.566,10.42,27.79,3.94,15.90,2.02,0.084,0.040,1.93,0.99,0.462,0.488,0.561,0.571,0.11,0.20,1.02,10.56,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\79_F11.d" ,"4" ,0.573,0.591,0.644,65.51,69.43,9.86,100.00,5.05,0.071,0.015,1.89,0.71,0.561,0.571,0.649,0.662,0.21,0.29,1.88,65.74,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\79_F11.d" ,"5" ,0.681,0.714,0.759,6.60,12.13,1.72,10.07,0.88,0.077,0.028,0.45,0.47,0.649,0.662,0.753,0.780,0.33,0.41,1.60,6.96,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\79_F11.d" ,"6" ,1.117,1.169,1.281,34.11,100.73,14.30,52.07,7.33,0.164,0.045,-0.10,0.10,1.106,1.111,1.314,1.317,-0.10,0.07,1.60,34.06,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\79_F11.d" ,"7" ,3.090,3.211,3.359,32.40,193.01,27.40,49.46,14.04,0.269,0.093,-0.78,-0.28,3.077,3.083,3.374,3.380,-0.78,-0.28,1.24,31.85,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\79_F11.d" ,"8" ,3.383,3.499,3.625,32.45,175.68,24.94,49.53,12.78,0.242,0.085,-0.42,-0.61,3.381,3.384,3.628,3.636,-0.42,-0.61,1.08,31.93,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\79_F11.d" ,"9" ,3.635,3.696,3.753,3.25,11.32,1.61,4.96,0.82,0.118,0.057,-0.62,-0.72,3.628,3.636,3.756,3.759,-0.62,-0.72,0.98,2.58,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\79_F11.d" ,"10" ,3.758,3.816,3.903,6.96,24.44,3.47,10.62,1.78,0.146,0.055,-0.77,-1.44,3.756,3.759,3.906,3.908,-1.00,-1.44,1.05,5.78,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\79_F11.d" ,"11" ,4.421,4.471,4.530,3.50,8.84,1.25,5.34,0.64,0.110,0.039,-2.10,-2.10,4.413,4.417,4.529,4.531,-2.10,-2.15,1.24,1.38,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\79_F11.d" ,"12" ,6.647,6.864,8.000,28.22,704.45,100.00,43.08,51.26,1.352,0.408,-1.96,-0.20,6.636,6.640,7.999,8.000,-1.96,-0.20,4.20,26.54,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\80_F12.d"," DAD1 - B:Sig=260,4  Ref=360,60 80_F12.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\80_F12.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\80_F12.d" ,"1" ,0.363,0.378,0.392,19.37,20.98,2.97,45.20,1.85,0.029,0.031,-1.13,-29.91,0.355,0.356,0.394,0.394,-1.13,-29.91,0.40,3.02,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\80_F12.d" ,"2" ,0.408,0.426,0.485,10.88,25.43,3.60,25.39,2.24,0.077,0.035,0.01,1.60,0.394,0.394,0.468,0.490,0.01,0.07,3.75,10.90,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\80_F12.d" ,"3" ,0.485,0.512,0.566,9.68,23.82,3.37,22.60,2.10,0.081,0.035,1.60,0.94,0.468,0.490,0.561,0.571,0.07,0.14,1.15,9.78,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\80_F12.d" ,"4" ,0.574,0.592,0.643,42.85,44.98,6.37,100.00,3.96,0.069,0.015,1.84,0.49,0.561,0.571,0.654,0.656,0.14,0.20,1.74,43.01,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\80_F12.d" ,"5" ,1.119,1.169,1.282,22.44,65.43,9.27,52.37,5.76,0.163,0.044,-0.16,-0.04,1.113,1.117,1.319,1.322,-0.16,-0.04,1.62,22.32,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\80_F12.d" ,"6" ,3.096,3.210,3.365,20.92,125.56,17.78,48.82,11.06,0.269,0.094,-0.78,-0.59,3.052,3.056,3.379,3.383,-0.78,-0.59,1.23,20.22,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\80_F12.d" ,"7" ,3.383,3.500,3.624,21.25,114.41,16.20,49.59,10.08,0.241,0.085,-0.66,-0.94,3.379,3.383,3.632,3.639,-0.66,-0.94,1.05,20.45,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\80_F12.d" ,"8" ,3.764,3.815,3.882,2.60,8.72,1.23,6.08,0.77,0.118,0.054,-1.22,-1.49,3.757,3.760,3.902,3.905,-1.22,-1.49,1.08,1.26,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\80_F12.d" ,"9" ,6.649,6.868,8.000,28.22,706.04,100.00,65.85,62.19,1.351,0.408,-1.98,-0.27,6.639,6.642,7.999,8.000,-1.98,-0.27,4.05,26.51,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\82_G1.d"," DAD1 - B:Sig=260,4  Ref=360,60 82_G1.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\82_G1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\82_G1.d" ,"1" ,0.363,0.379,0.392,22.10,23.93,3.39,78.27,2.51,0.029,0.031,-1.27,-34.01,0.355,0.357,0.394,0.394,-1.27,-34.01,0.40,3.28,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\82_G1.d" ,"2" ,0.408,0.426,0.482,11.98,28.58,4.04,42.45,2.99,0.074,0.037,-0.19,2.06,0.394,0.394,0.463,0.487,-0.19,-0.19,3.55,11.79,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\82_G1.d" ,"3" ,0.483,0.511,0.560,9.31,20.23,2.86,32.99,2.12,0.077,0.032,2.07,1.51,0.463,0.487,0.559,0.575,1.94,1.40,1.76,11.05,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\82_G1.d" ,"4" ,0.589,0.604,0.636,17.99,19.17,2.71,63.71,2.01,0.047,0.016,2.02,0.96,0.559,0.575,0.664,0.667,1.20,0.88,1.72,19.09,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\82_G1.d" ,"5" ,1.164,1.220,1.319,11.17,33.87,4.79,39.55,3.55,0.155,0.046,-0.31,-0.26,1.161,1.165,1.318,1.320,-0.31,-0.32,1.54,10.85,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\82_G1.d" ,"6" ,3.188,3.301,3.439,10.81,64.33,9.10,38.28,6.74,0.251,0.093,-0.92,-0.93,3.179,3.184,3.458,3.460,-0.92,-0.93,1.21,9.88,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\82_G1.d" ,"7" ,3.479,3.575,3.679,12.55,57.78,8.18,44.46,6.05,0.200,0.073,-1.06,-1.24,3.472,3.478,3.683,3.688,-1.06,-1.24,1.06,11.41,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\82_G1.d" ,"8" ,6.643,6.864,8.000,28.24,706.58,100.00,100.00,74.03,1.357,0.408,-2.04,-0.27,6.639,6.644,7.999,8.000,-2.04,-0.27,4.27,26.49,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\83_G2.d"," DAD1 - B:Sig=260,4  Ref=360,60 83_G2.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\83_G2.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\83_G2.d" ,"1" ,0.407,0.424,0.483,10.99,26.20,3.70,37.43,2.62,0.076,0.036,-0.19,1.69,0.393,0.394,0.463,0.488,-0.19,-0.19,3.81,10.81,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\83_G2.d" ,"2" ,0.483,0.512,0.565,10.40,27.96,3.95,35.41,2.79,0.082,0.042,1.69,0.71,0.463,0.488,0.561,0.569,-0.19,-0.19,1.04,10.22,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\83_G2.d" ,"3" ,0.570,0.594,0.644,29.37,33.23,4.70,100.00,3.32,0.074,0.015,1.23,0.25,0.561,0.569,0.654,0.658,-0.28,-0.31,1.35,29.08,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\83_G2.d" ,"4" ,1.128,1.182,1.302,14.95,44.63,6.31,50.91,4.46,0.175,0.045,-0.29,-0.26,1.123,1.131,1.302,1.304,-0.29,-0.26,1.57,14.67,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\83_G2.d" ,"5" ,3.112,3.235,3.395,14.35,86.15,12.18,48.85,8.60,0.283,0.093,-0.93,-0.90,3.100,3.106,3.402,3.409,-0.95,-0.90,1.23,13.42,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\83_G2.d" ,"6" ,3.424,3.521,3.630,15.14,75.91,10.73,51.54,7.58,0.206,0.079,-0.80,-1.11,3.402,3.409,3.644,3.647,-0.80,-1.11,1.02,14.19,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\83_G2.d" ,"7" ,6.644,6.867,7.999,28.24,707.38,100.00,96.13,70.63,1.355,0.408,-2.08,-0.35,6.636,6.644,7.999,8.000,-2.08,-0.35,4.09,26.44,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\84_G3.d"," DAD1 - B:Sig=260,4  Ref=360,60 84_G3.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\84_G3.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\84_G3.d" ,"1" ,0.362,0.377,0.391,20.14,22.10,3.11,47.46,1.78,0.029,0.030,-1.08,-32.73,0.354,0.356,0.393,0.394,-1.08,-32.73,0.43,3.01,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\84_G3.d" ,"2" ,0.393,0.425,0.482,42.44,167.41,23.60,100.00,13.48,0.089,0.084,-34.99,1.85,0.393,0.394,0.464,0.487,-34.99,-23.79,2.31,11.45,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\84_G3.d" ,"3" ,0.482,0.511,0.565,10.95,30.16,4.25,25.80,2.43,0.083,0.045,1.85,1.04,0.464,0.487,0.561,0.569,0.08,0.14,1.07,11.05,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\84_G3.d" ,"4" ,0.572,0.591,0.644,38.36,41.14,5.80,90.37,3.31,0.072,0.015,2.03,0.34,0.561,0.569,0.653,0.656,0.14,0.19,1.69,38.51,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\84_G3.d" ,"5" ,1.117,1.171,1.316,19.56,58.59,8.26,46.09,4.72,0.199,0.045,-0.18,-0.17,1.115,1.118,1.314,1.320,-0.18,-0.17,1.60,19.38,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\84_G3.d" ,"6" ,3.097,3.214,3.379,18.73,112.40,15.84,44.13,9.05,0.281,0.093,-0.82,-0.71,3.096,3.099,3.377,3.380,-0.84,-0.71,1.25,17.94,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\84_G3.d" ,"7" ,3.392,3.505,3.620,18.90,100.48,14.16,44.53,8.09,0.229,0.084,-0.69,-0.93,3.383,3.387,3.635,3.637,-0.69,-0.93,1.00,18.09,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\84_G3.d" ,"8" ,6.640,6.864,7.999,28.29,709.52,100.00,66.66,57.14,1.359,0.408,-2.05,-0.28,6.636,6.641,7.999,8.000,-2.05,-0.28,4.29,26.53,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\85_G4.d"," DAD1 - B:Sig=260,4  Ref=360,60 85_G4.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\85_G4.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\85_G4.d" ,"1" ,0.408,0.425,0.465,8.91,16.75,2.37,31.55,1.74,0.058,0.033,-0.15,1.89,0.394,0.394,0.469,0.491,-0.15,1.76,4.07,9.33,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\85_G4.d" ,"2" ,0.490,0.513,0.560,6.89,15.17,2.14,24.40,1.57,0.070,0.033,1.71,1.20,0.469,0.491,0.561,0.571,1.71,1.14,1.98,8.42,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\85_G4.d" ,"3" ,0.574,0.592,0.632,26.90,26.48,3.74,95.25,2.75,0.058,0.014,1.58,0.62,0.561,0.571,0.653,0.655,1.03,0.55,1.57,27.78,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\85_G4.d" ,"4" ,1.123,1.175,1.286,14.41,42.44,5.99,51.00,4.40,0.163,0.045,-0.24,-0.17,1.120,1.124,1.286,1.290,-0.24,-0.17,1.58,14.19,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\85_G4.d" ,"5" ,3.105,3.224,3.381,13.65,82.39,11.63,48.34,8.54,0.277,0.094,-0.88,-0.82,3.103,3.106,3.381,3.384,-0.89,-0.82,1.23,12.79,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\85_G4.d" ,"6" ,3.410,3.511,3.619,14.21,72.78,10.27,50.32,7.55,0.209,0.081,-0.76,-1.02,3.399,3.402,3.631,3.633,-0.76,-1.02,1.01,13.33,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\85_G4.d" ,"7" ,6.643,6.870,8.000,28.25,708.31,100.00,100.00,73.45,1.357,0.408,-2.05,-0.27,6.640,6.643,7.999,8.000,-2.05,-0.27,4.06,26.49,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\86_G5.d"," DAD1 - B:Sig=260,4  Ref=360,60 86_G5.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\86_G5.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\86_G5.d" ,"1" ,0.363,0.377,0.391,18.49,19.81,2.79,65.26,1.96,0.028,0.030,-0.85,-29.65,0.354,0.356,0.393,0.394,-0.85,-29.65,0.42,3.45,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\86_G5.d" ,"2" ,0.407,0.424,0.482,11.37,27.10,3.82,40.12,2.68,0.075,0.036,-0.02,1.96,0.393,0.394,0.462,0.488,-0.02,0.02,3.70,11.35,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\86_G5.d" ,"3" ,0.482,0.512,0.565,10.58,29.37,4.14,37.36,2.91,0.083,0.046,1.96,1.06,0.462,0.488,0.561,0.569,0.02,0.08,1.05,10.63,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\86_G5.d" ,"4" ,0.568,0.590,0.641,28.33,30.75,4.34,100.00,3.04,0.072,0.015,1.30,0.37,0.561,0.569,0.650,0.654,0.08,0.12,1.40,28.42,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\86_G5.d" ,"5" ,1.110,1.160,1.278,14.32,42.01,5.93,50.54,4.16,0.167,0.045,-0.09,-0.08,1.097,1.107,1.279,1.283,-0.09,-0.08,1.64,14.23,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\86_G5.d" ,"6" ,3.085,3.194,3.337,13.42,80.04,11.29,47.36,7.92,0.253,0.093,-0.72,-0.59,3.051,3.059,3.359,3.365,-0.72,-0.59,1.25,12.75,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\86_G5.d" ,"7" ,3.380,3.489,3.612,13.34,72.88,10.28,47.07,7.21,0.232,0.086,-0.66,-1.03,3.359,3.365,3.619,3.630,-0.66,-1.03,1.00,12.50,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\86_G5.d" ,"8" ,6.645,6.866,8.000,28.27,708.74,100.00,99.80,70.12,1.355,0.408,-1.97,-0.24,6.632,6.641,7.999,8.000,-1.97,-0.24,4.23,26.58,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\87_G6.d"," DAD1 - B:Sig=260,4  Ref=360,60 87_G6.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\87_G6.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\87_G6.d" ,"1" ,0.364,0.378,0.392,16.02,16.98,2.40,56.63,1.75,0.028,0.030,-1.13,-23.75,0.355,0.357,0.394,0.395,-1.13,-23.75,0.42,3.25,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\87_G6.d" ,"2" ,0.408,0.424,0.485,9.93,23.29,3.29,35.10,2.40,0.077,0.035,-0.05,1.54,0.394,0.395,0.463,0.490,-0.05,-0.01,4.08,9.89,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\87_G6.d" ,"3" ,0.485,0.513,0.566,9.10,23.87,3.37,32.16,2.46,0.082,0.040,1.54,0.73,0.463,0.490,0.562,0.571,-0.01,0.04,1.02,9.11,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\87_G6.d" ,"4" ,0.572,0.592,0.642,24.34,25.72,3.63,86.06,2.65,0.070,0.015,1.19,0.18,0.562,0.571,0.653,0.655,0.04,0.08,1.57,24.40,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\87_G6.d" ,"5" ,1.121,1.174,1.282,12.55,37.24,5.25,44.38,3.83,0.161,0.045,-0.25,-0.19,1.109,1.123,1.280,1.289,-0.25,-0.24,1.61,12.31,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\87_G6.d" ,"6" ,3.098,3.224,3.377,11.92,71.92,10.15,42.14,7.40,0.279,0.094,-0.89,-0.87,3.091,3.095,3.377,3.379,-0.91,-0.87,1.20,11.03,,,  ,,,,,,,,,,,,
