"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d"," DAD1 - B:Sig=260,4  Ref=360,60 02_A1.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\08_A7.d" ,"1" ,0.362,0.377,0.391,23.89,26.00,3.69,84.52,2.57,0.029,0.030,-1.46,-37.48,0.355,0.356,0.393,0.393,-1.46,-37.48,0.42,3.11,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\08_A7.d" ,"2" ,0.407,0.426,0.479,12.89,30.37,4.31,45.61,3.00,0.072,0.037,-0.10,2.26,0.393,0.393,0.462,0.484,-0.10,-0.08,3.23,12.79,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\08_A7.d" ,"3" ,0.479,0.509,0.565,12.40,32.89,4.66,43.88,3.25,0.087,0.039,2.26,0.67,0.462,0.484,0.561,0.569,-0.08,-0.05,1.11,12.33,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\08_A7.d" ,"4" ,0.568,0.593,0.643,27.02,30.43,4.31,95.59,3.00,0.075,0.015,0.90,0.34,0.561,0.569,0.654,0.656,-0.05,-0.03,1.23,26.97,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\08_A7.d" ,"5" ,1.120,1.172,1.279,13.47,40.19,5.70,47.65,3.97,0.159,0.045,-0.21,-0.14,1.117,1.120,1.279,1.281,-0.21,-0.14,1.59,13.28,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\08_A7.d" ,"6" ,3.084,3.208,3.375,12.97,78.09,11.07,45.90,7.71,0.291,0.094,-0.86,-0.85,3.068,3.072,3.374,3.388,-0.90,-0.85,1.22,12.09,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\08_A7.d" ,"7" ,3.391,3.503,3.617,13.18,69.37,9.84,46.64,6.85,0.226,0.083,-0.83,-1.10,3.374,3.388,3.627,3.636,-0.83,-1.10,1.01,12.22,,,  ,,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\08_A7.d" ,"8" ,6.644,6.868,7.999,28.26,705.30,100.00,100.00,69.65,1.354,0.408,-2.00,-0.24,6.639,6.645,7.998,8.000,-2.00,-0.24,4.00,26.56,,,  ,,,,,,,,,,,,

"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\09_A8.d"," DAD1 - B:Sig=260,4  Ref=360,60 09_A8.d"
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\09_A8.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1_large\09_A8.d" ,"1" ,0.363,0.378,0.391,18.96,20.23,2.87,31.47,1.57,0.028,0.030,-1.24,-28.32,0.355,0.357,0.394,0.394,-1.24,-28.32,0.42,3.78,,,  ,,,,,,,,,,,,
