"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +/- TIC Scan 02_A1.d    ***NO DATA POINTS***"
"No integration results available"
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d"," +ESI MRM Frag=166.0V CID@10.0 (572.0 -> 295.0) 02_A1.d "
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"Peak" ,Start,RT,End,Height,Area,Area %,Height %,Area Sum %,Width,FWHM,Start Y,End Y,B1 Start,B1 End,B2 Start,B2 End,Start BL Y,End BL Y,Symmetry,Max Y,SNR,Height % (Norm),Baseline,Base Peak,k',Label,Cpd,Type,Plates,Plates/M,Resolution,Saturated,Tailing factor,Flags (Tgt),
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"1" ,0.354,0.386,0.501,5.45,14.17,3.07,4.50,0.83,0.147,0.042,45.69,45.70,0.337,0.354,0.468,0.501,45.69,45.69,1.85,51.15,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"2" ,0.501,0.533,0.566,4.32,8.35,1.81,3.57,0.49,0.065,0.031,45.70,46.16,0.468,0.501,0.558,0.566,45.69,45.69,1.05,50.02,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"3" ,0.566,0.639,0.729,121.07,460.80,100.00,100.00,26.91,0.163,0.055,46.16,49.10,0.558,0.566,0.729,0.737,45.69,45.69,1.16,166.77,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"4" ,0.729,0.762,0.835,5.21,13.71,2.98,4.30,0.80,0.106,0.039,49.10,45.85,0.729,0.737,0.941,1.014,45.69,45.69,1.25,50.90,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"5" ,1.023,1.055,1.079,5.19,10.10,2.19,4.28,0.59,0.057,0.033,45.69,47.36,0.941,1.014,1.071,1.079,45.69,45.69,0.91,50.88,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"6" ,1.079,1.112,1.180,5.50,12.69,2.75,4.54,0.74,0.101,0.036,47.36,45.69,1.071,1.079,1.185,1.226,45.69,45.69,0.92,51.19,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"7" ,1.230,1.315,1.421,19.53,52.82,11.46,16.13,3.09,0.192,0.034,45.69,45.77,1.185,1.226,1.429,1.454,45.69,45.69,0.70,65.22,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"8" ,2.041,2.098,2.173,8.13,18.04,3.91,6.71,1.05,0.132,0.031,45.72,45.83,1.910,1.951,2.189,2.230,45.69,45.69,1.49,53.82,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"9" ,2.671,2.707,2.773,3.57,7.58,1.64,2.95,0.44,0.101,0.031,45.69,45.74,2.337,2.444,2.781,2.814,45.69,45.69,1.29,49.26,,,  ,393.0,,,,,,,,,,,
"D:\Masshunter_6495_data\093021\PA14-half plate 1-small\02_A1.d" ,"10" ,3.035,3.084,3.150,6.24,16.67,3.62,5.15,0.97,0.115,0.036,45.82,45.86,3.019,3.035,3.166,3.223,45.69,45.69,0.86,51.93,,,  ,393.0,,,,,,,,,,,
